"","V1"
"1529",0.911345
"1530",0.995723
"1531",0.991312
"1532",0.991082
"1533",0.991569
"1534",0.992845
"1535",0.975043
"1536",0.99346
"1537",0.990137
"1538",0.994406
"1539",0.926426
"1540",0.920409
"1541",0.999257
"1542",0.929699
"1543",0.977572
"1544",0.981215
"1545",0.990642
"1546",0.984576
"1547",0.98509
"1548",0.951731
"1549",0.977811
"1550",0.99961
"1551",0.893684
"1552",0.98935
"1553",0.981892
"1554",0.991443
"1555",0.991601
"1556",0.992195
"1557",0.99579
"1558",0.971991
"1559",0.996366
"1560",0.993685
"1561",0.977967
"1562",0.909541
"1563",0.999691
"1564",0.987623
"1565",0.98416
"1566",0.985935
"1567",0.999693
"1568",0.993742
"1569",0.97671
"1570",0.988641
"1571",0.983452
"1572",0.985404
"1573",0.918007
"1574",0.900244
"1575",0.922005
"1576",0.893684
"1577",0.960367
"1578",0.998107
"1579",0.983711
"1580",0.993219
"1581",0.979131
"1582",0.999098
"1583",0.966974
"1584",0.961658
"1585",0.848224
"1586",0.988679
"1587",0.988834
"1588",0.989643
"1589",0.995876
"1590",0.947351
"1591",0.99324
"1592",0.982509
"1593",0.950167
"1594",0.984977
"1595",0.991586
"1596",0.918975
"1597",0.88493
"1598",0.997027
"1599",0.967369
"1600",0.99178
"1601",0.991025
"1602",0.990942
"1603",0.813237
"1604",0.945077
"1605",0.928369
"1606",0.924662
"1607",0.796378
"1608",0.957632
"1609",0.868904
"1610",0.982146
"1611",0.976711
"1612",0.999228
"1613",0.998567
"1614",0.995442
"1615",0.961489
"1616",0.985185
"1617",0.979458
"1618",0.930949
"1619",0.99961
"1620",0.929759
"1621",0.999691
"1622",0.941974
"1623",0.996514
"1624",0.837138
"1625",0.997899
"1626",0.995557
"1627",0.963871
"1628",0.992087
"1629",0.998806
"1630",0.995754
"1631",0.957356
"1632",0.995774
"1633",0.930949
"1634",0.995594
"1635",0.950737
"1636",0.996789
"1637",0.99961
"1638",0.998683
"1639",0.998132
"1640",0.980388
"1641",0.880627
"1642",0.93944
"1643",0.956789
"1644",0.969428
"1645",0.996286
"1646",0.974151
"1647",0.982529
"1648",0.996099
"1649",0.953073
"1650",0.997505
"1651",0.98762
"1652",0.986385
"1653",0.983726
"1654",0.99989
"1655",0.884679
"1656",0.985729
"1657",0.977034
"1658",0.951763
"1659",0.966693
"1660",0.992104
"1661",0.951805
"1662",0.99092
