"","V1"
"1382",0.738498
"1383",0.264263
"1384",0.319815
"1385",0.397559
"1386",0.311845
"1387",0.116598
"1388",0.712551
"1389",0.289299
"1390",0.181706
"1391",0.936343
"1392",0.507189
"1393",0.406702
"1394",0.770363
"1395",0.407674
"1396",0.439804
"1397",0.195418
"1398",0.848889
"1399",0.379234
"1400",0.287181
"1401",0.603928
"1402",0.344714
"1403",0.0644801
"1404",0.818688
"1405",0.936292
"1406",0.614747
"1407",0.35396
"1408",0.141518
"1409",0.313053
"1410",0.355766
"1411",0.564087
"1412",0.391748
"1413",0.906327
"1414",0.656724
"1415",0.722718
"1416",0.499409
"1417",0.941398
"1418",0.487989
"1419",0.972464
"1420",0.808045
"1421",0.172996
"1422",0.44477
"1423",0.412207
"1424",0.397559
"1425",0.340998
"1426",0.845663
"1427",0.235701
"1428",0.246756
"1429",0.551064
"1430",0.29722
"1431",0.495012
"1432",0.347209
"1433",0.941782
"1434",0.505961
"1435",0.64729
"1436",0.503087
"1437",0.922209
"1438",0.628225
"1439",0.383318
"1440",0.887901
"1441",0.271431
"1442",0.84977
"1443",0.664072
"1444",0.486284
"1445",0.237071
"1446",0.959005
"1447",0.799782
"1448",0.677153
"1449",0.418667
"1450",0.436386
"1451",0.343002
"1452",0.314135
"1453",0.549537
"1454",0.361706
"1455",0.206505
"1456",0.444506
"1457",0.386841
"1458",0.332818
"1459",0.409238
"1460",0.213673
"1461",0.332735
"1462",0.374359
"1463",0.533056
"1464",0.266579
"1465",0.749813
"1466",0.834696
"1467",0.893157
"1468",0.294999
"1469",0.523175
"1470",0.361094
"1471",0.541164
"1472",0.868206
"1473",0.425379
"1474",0.406702
"1475",0.195418
"1476",0.643118
"1477",0.426307
"1478",0.329904
"1479",0.936292
"1480",0.802998
"1481",0.393736
"1482",0.467236
"1483",0.503368
"1484",0.575968
"1485",0.263174
"1486",0.910249
"1487",0.262152
"1488",0.523447
"1489",0.377604
"1490",0.349081
"1491",0.216968
"1492",0.232456
"1493",0.271431
"1494",0.266274
"1495",0.508568
"1496",0.312154
"1497",0.730678
"1498",0.418626
"1499",0.780792
"1500",0.260116
"1501",0.518785
"1502",0.810847
"1503",0.394257
"1504",0.410245
"1505",0.185785
"1506",0.302568
"1507",0.433378
"1508",0.634997
"1509",0.96001
"1510",0.488107
"1511",0.611256
"1512",0.142739
"1513",0.439804
"1514",0.744677
"1515",0.295155
"1516",0.696868
"1517",0.240993
"1518",0.462768
"1519",0.343002
"1520",0.622457
"1521",0.936858
"1522",0.722185
"1523",0.500166
"1524",0.609155
"1525",0.814705
"1526",0.35977
"1527",0.556734
"1528",0.347599
"1529",0.395557
"1530",0.415247
"1531",0.924196
"1532",0.532774
"1533",0.987975
"1534",0.189083
"1535",0.420511
"1536",0.524375
"1537",0.864027
"1538",0.446035
"1539",0.659782
"1540",0.438817
"1541",0.438591
"1542",0.646774
"1543",0.350271
"1544",0.615811
"1545",0.546151
"1546",0.162188
"1547",0.304933
"1548",0.178107
"1549",0.28137
"1550",0.902294
"1551",0.804103
"1552",0.350729
"1553",0.82933
"1554",0.355388
"1555",0.525927
"1556",0.428097
"1557",0.893352
"1558",0.86468
"1559",0.827666
"1560",0.586272
"1561",0.868206
"1562",0.571545
"1563",0.172996
"1564",0.172705
"1565",0.630356
"1566",0.492033
