"","x","y"
"612",0.719231,8.00165
"613",10.198,8.05629
"614",4.34058,5.0665
"615",7.83942,1.04216
"616",3.14245,2.64086
"617",6.82379,6.2773
"618",2.10126,0.679283
"619",7.25645,5.54263
"620",0.869692,5.61106
"621",6.20415,5.43478
"622",1.65442,6.21118
"623",0.86638,2.04397
"624",1.87796,6.08172
"625",0.699601,11.1272
"626",5.85205,8.98262
"627",11.08,5.61383
"628",5.65479,2.2117
"629",4.25836,5.17627
"630",3.19814,6.85582
"631",4.63881,4.29871
"632",4.4055,0.920277
"633",4.95799,9.8915
"634",7.5132,7.76063
"635",6.81886,6.69358
"636",10.0239,2.04355
"637",4.41016,3.12924
"638",4.14994,1.79896
"639",6.35483,8.02692
"640",5.66686,9.09781
"641",9.12973,1.4469
"642",6.26074,4.50841
"643",10.1629,11.1916
"644",0.673087,5.67377
"645",0.814078,2.28943
"646",6.41943,10.028
"647",8.59638,7.41663
"648",4.40438,1.11821
"649",4.12848,6.40182
"650",7.42976,9.67838
"651",2.02971,7.55991
"652",3.20389,3.66096
"653",4.05253,10.8365
"654",10.5047,4.61682
"655",11.4079,9.50978
"656",8.4677,1.26146
"657",2.83244,8.85204
"658",1.91452,6.2597
"659",4.42376,6.31504
"660",4.08529,6.68325
"661",4.01058,7.3725
"662",11.1494,11.1655
"663",1.67898,9.3148
"664",5.35285,0.994618
"665",11.419,4.24382
"666",6.57314,0.95127
"667",11.015,2.14013
"668",6.93138,8.8499
"669",3.3469,9.97158
"670",4.41859,6.31525
"671",2.16383,2.11603
"672",8.93821,10.1221
"673",2.93823,2.36666
"674",10.2225,2.14921
"675",10.0626,6.67179
"676",9.26734,3.64572
"677",5.2787,2.10766
"678",6.44088,7.9148
"679",1.93059,0.868691
"680",1.68788,5.00984
"681",7.58937,7.35297
"682",7.54225,3.68907
"683",3.26185,1.1645
"684",3.35014,1.88254
"685",7.77255,2.34802
"686",7.15496,8.67696
"687",6.22258,4.82771
"688",1.66761,3.94758
"689",10.9251,7.82542
"690",11.0487,0.861103
"691",4.33393,11.0962
"692",2.17638,10.1493
"693",6.33615,3.16479
"694",11.1374,8.23169
"695",5.26031,2.37417
"696",1.25855,1.20889
"697",2.03684,0.861871
"698",1.88174,4.37548
"699",1.96355,1.11591
"700",0.710663,11.2879
"701",8.97855,6.40728
"702",6.80593,1.89045
"703",7.49478,9.9195
"704",3.65077,8.86809
"705",2.22643,3.2512
"706",4.24434,0.827125
"707",8.46923,9.66866
"708",6.45154,3.48579
"709",6.30054,0.679806
"710",2.04231,3.25728
"711",0.769089,1.79878
"712",3.28782,0.913897
"713",8.93509,11.0539
"714",0.994505,3.31603
"715",10.2307,1.65114
"716",0.796809,3.31772
"717",5.50845,0.943008
"718",2.93339,4.70622
"719",6.5451,9.68733
"720",3.18638,2.24266
"721",10.7153,3.13406
"722",10.2219,4.68083
"723",9.30462,7.9531
"724",10.2776,3.66509
"725",1.80547,3.12905
"726",10.1375,10.2859
"727",6.17321,7.82006
"728",8.13681,11.3425
"729",4.27135,11.3386
"730",4.3783,0.585882
"731",2.2606,4.27687
"732",4.90948,7.9731
"733",0.855984,6.68565
"734",6.7462,0.691953
"735",9.81753,9.78553
"736",6.51337,2.03194
"737",2.39915,10.1551
"738",1.53411,11.1217
"739",8.66444,4.59631
"740",7.55839,6.68939
"741",10.9806,9.76995
"742",9.68319,6.99253
"743",9.0609,8.86875
"744",11.1053,5.28095
"745",4.29202,3.29109
"746",9.8788,7.9685
"747",8.79512,5.8343
"748",4.38755,2.08447
"749",5.31801,3.4295
"750",3.93346,4.79069
"751",9.85426,0.868026
"752",10.0109,1.83004
"753",0.761449,4.46313
"754",8.7069,5.52711
"755",11.0954,1.14257
"756",2.92278,11.4128
"757",4.01552,4.58242
"758",6.61281,10.1972
"759",5.15438,11.4385
"760",7.49941,5.62823
"761",0.9041,0.603738
"762",9.07703,7.81498
"763",6.42257,8.62052
"764",2.31081,10.1607
"765",11.0072,3.18847
"766",6.83011,0.712409
"767",11.0765,2.16979
"768",5.28083,2.28534
"769",2.50074,9.85818
"770",7.89925,2.01064
"771",8.89483,1.1107
"772",7.32893,10.0673
"773",2.04165,6.31896
"774",2.42503,10.012
"775",1.03334,2.28341
"776",11.1131,7.08267
"777",2.20863,3.05469
"778",2.11034,10.8955
"779",2.92071,4.71431
"780",6.34879,10.1968
"781",6.66552,5.56217
"782",7.02274,2.22931
"783",9.87303,3.55962
"784",10.2774,0.875167
"785",3.56956,2.30558
"786",9.20286,8.07624
"787",1.89865,3.17191
"788",6.31091,3.39472
"789",11.2796,3.49579
"790",11.0741,5.58363
"791",11.3743,5.52164
"792",0.897118,5.89983
"793",9.95132,7.06873
"794",0.794761,1.09801
"795",7.60646,3.50719
"796",5.7339,6.92815
"797",0.862379,6.49091
"798",0.702608,1.10591
"799",6.62512,6.6242
"800",8.94882,0.778848
"801",0.881871,8.03284
"802",10.0443,0.977447
"803",5.56665,0.925199
"804",5.90866,4.27673
"805",5.87952,1.36999
"806",0.913479,4.76279
"807",1.76433,4.85949
"808",0.682832,10.6211
"809",7.58484,4.31795
"810",5.38396,2.28189
"811",2.29851,7.47587
"812",9.598,1.05935
"813",3.52805,10.2445
"814",5.14316,5.55242
"815",6.78867,11.0488
"816",4.40554,11.274
"817",9.5905,6.70498
"818",11.2642,0.755104
"819",7.32293,8.59761
"820",8.86857,6.75641
"821",4.46443,7.45405
"822",4.21726,8.75549
"823",9.79008,7.963
"824",8.12553,6.66694
"825",7.30609,3.55372
